DSF Project ID,Delivery State,Flow,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,EAC Hr,EAC Efficiency,Work Prog,Time Prog,Effort Prog,RAG,RAG Reason
DSFFLOW-386,Closed,Maiden Installation,Core Network,EPC,30,30,30,10-Nov-24,10-Nov-24,01-Jan-25,26-Jan-25,26-Jan-25,30-Jun-25,77,77,1773.0,1773.0,993.0,993.0,44%,100%,299%,57%,Red,[Closed] schedule overrun > 10%; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-4427,Closed,Upgrade,Network Management,Element Management & Reporting,24,18,18,28-Jul-25,28-Jul-25,06-Aug-25,08-Aug-25,08-Aug-25,11-Aug-25,11,11,148.0,148.0,140.0,140.0,5%,100%,125%,95%,Red,[Closed] schedule overrun > 10%; efforts saved; late start; 
DSFFLOW-1383,Closed,Upgrade,Core Network,EPC,63,63,0,31-Dec-24,31-Dec-24,01-Jan-25,30-Jun-25,30-Jun-25,27-May-25,181,181,952.0,952.0,952.0,942.0,1%,0%,81%,100%,Red,[Closed] incomplete work; effort budget spent; ahead of schedule; feedback: opportunity for optimized time plan; 
DSFFLOW-1445,Closed,Upgrade,Core Network,IMS,78,59,59,27-May-25,27-May-25,28-May-25,18-Jul-25,04-Jul-25,04-Jul-25,52,38,801.0,639.5,600.2697222,600.2697222,6%,100%,100%,94%,Green,[Closed] efforts saved; 
DSFFLOW-1200,Closed,Upgrade,Network Management,Element Management & Reporting,192,35,35,08-May-25,10-Feb-25,22-Apr-25,31-Aug-26,31-Oct-25,19-Jun-25,480,263,3156.0,1055.5,605.5,605.5,43%,100%,49%,57%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-3458,Closed,Upgrade,Core Network,Cloud,18,18,14,22-Jul-25,22-Jul-25,29-Jul-25,29-Aug-25,29-Aug-25,11-Aug-25,38,38,242.0,242.0,242.0,242.0,0%,78%,54%,100%,Red,[Closed] incomplete work; effort budget spent; ahead of schedule; feedback: opportunity for optimized time plan; 
DSFFLOW-3381,Closed,Upgrade,Core Network,Signaling,19,19,19,10-Jun-25,04-Jun-25,04-Jun-25,30-Jul-25,22-Jul-25,22-Jul-25,50,48,179.0,179.0,178.5,178.5,0%,100%,100%,100%,Green,[Closed] 
DSFFLOW-550,Closed,Upgrade,Network Management,Element Management & Reporting,43,43,43,30-Apr-25,07-Apr-25,02-Jul-25,27-Feb-26,23-Jul-25,18-Jul-25,303,107,624.0,624.0,618.0,618.0,1%,100%,95%,99%,Green,[Closed] ahead of schedule; efforts saved; late start; 
DSFFLOW-168,Closed,Upgrade,BOS,Monetization Charging,59,59,59,21-Mar-25,18-Mar-25,18-Mar-25,03-Sep-25,03-Sep-25,13-Jun-25,166,169,790.8,790.8,652.5,652.5,17%,100%,52%,83%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; 
DSFFLOW-2419,Closed,Upgrade,Core Network,IMS,52,52,52,05-Jun-25,05-Jun-25,24-Jul-25,26-Jun-25,26-Jun-25,24-Jul-25,21,21,322.0,322.0,200.0,200.0,38%,100%,227%,62%,Red,[Closed] schedule overrun > 10%; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-3581,Closed,Upgrade,Core Network,MSS,13,13,13,22-Jul-25,03-Jul-25,03-Jul-25,15-Aug-25,08-Aug-25,18-Aug-25,24,36,220.0,220.0,204.5,204.5,8%,100%,127%,93%,Red,[Closed] schedule overrun > 10%; efforts saved; 
DSFFLOW-921,Closed,Upgrade,Core Network,UDM,23,23,23,09-May-25,09-May-25,14-May-25,31-Jul-25,31-Jul-25,04-Jul-25,83,83,202.5,202.5,232.0,232.0,-15%,100%,68%,115%,Red,[Closed] effort overrun > 1%; ahead of schedule; feedback: opportunity for optimized time plan; 
DSFFLOW-1745,Closed,"Upgrade, Expansion","Core Network, Network Management","EPC, Exposure, Resource Orchestration, UDM",101,101,89,04-Jun-25,04-Jun-25,06-Jun-25,30-Aug-25,30-Aug-25,28-Jul-25,87,87,1424.0,1424.0,1432.0,1432.0,-1%,88%,63%,101%,Red,[Closed] incomplete work; effort budget spent; effort overrun < 1%; ahead of schedule; feedback: opportunity for optimized time plan; 
DSFFLOW-3611,Closed,Upgrade,Core Network,Cloud,17,17,15,23-Jul-25,23-Jul-25,24-Jul-25,28-Aug-25,28-Aug-25,07-Aug-25,36,36,106.0,106.0,88.0,88.0,17%,88%,43%,83%,Red,[Closed] incomplete work; ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; 
DSFFLOW-2560,Closed,Upgrade,Network Management,Resource Orchestration,24,18,18,26-Jun-25,26-Jun-25,27-Jun-25,08-Jul-25,08-Jul-25,07-Jul-25,12,12,222.0,222.0,222.0,222.0,0%,100%,92%,100%,Green,[Closed] ahead of schedule; 
DSFFLOW-401,Closed,"Upgrade, Expansion, Migration",Core Network,EPC,152,152,62,10-Jul-24,10-Jul-24,30-Apr-25,12-Dec-25,12-Dec-25,23-Jun-25,520,520,2112.0,2112.0,1746.1,2112.0,0%,41%,67%,83%,Red,[Closed] incomplete work; ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-2858,Closed,Upgrade,BOS,Monetization Charging,34,34,34,09-May-25,09-Jun-25,16-Jul-25,25-Jul-25,25-Jul-25,06-Aug-25,77,46,486.0,486.0,486.0,486.0,0%,100%,126%,100%,Red,[Closed] schedule overrun > 10%; late start; 
DSFFLOW-32,Closed,Upgrade,Network Management,Element Management & Reporting,57,31,31,08-Dec-24,08-Dec-24,09-Dec-24,17-Feb-25,18-Feb-25,17-Feb-25,71,72,910.0,459.0,457.0,457.0,0%,100%,99%,100%,Green,[Closed] ahead of schedule; 
DSFFLOW-1629,Closed,Upgrade,Core Network,"EPC, UDM, Signaling",175,175,175,01-Apr-25,01-Apr-25,03-Jun-25,29-Jun-25,29-Jun-25,07-Jul-25,89,89,2725.129167,2725.129167,2134.05,2134.05,22%,100%,111%,78%,Red,[Closed] schedule overrun > 10%; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-310,Closed,Upgrade,Core Network,UDM,19,19,19,20-Apr-25,20-Apr-25,05-Jun-25,31-May-25,31-May-25,05-Jun-25,41,41,267.0,267.0,315.0,315.0,-18%,100%,113%,118%,Red,[Closed] effort overrun > 1%; schedule overrun > 10%; late start; 
DSFFLOW-2352,Closed,Upgrade,Core Network,Signaling,26,26,23,02-Jun-25,02-Jun-25,27-Jun-25,04-Jul-25,30-Jul-25,05-Aug-25,32,58,511.0,511.0,369.0,452.0,12%,88%,112%,72%,Red,[Closed] incomplete work; schedule overrun > 10%; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-2947,Closed,Upgrade,Core Network,MSS,21,21,21,18-Mar-25,08-May-25,08-May-25,15-Aug-25,15-Jul-25,15-Jul-25,150,68,411.5,411.5,382.5,382.5,8%,100%,100%,93%,Green,[Closed] efforts saved; 
DSFFLOW-49,Closed,Upgrade,Network Management,Element Management & Reporting,30,30,30,19-Feb-25,20-Feb-25,28-Feb-25,29-Aug-25,17-Apr-25,27-Mar-25,191,56,488.0,488.0,430.0,430.0,12%,100%,63%,88%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-2138,Closed,"Upgrade, Maiden Installation",Network Management,Resource Orchestration,52,37,36,12-Jun-25,12-Jun-25,18-Jun-25,31-Dec-25,31-Aug-25,14-Aug-25,202,80,646.6497222,559.9,412.9,425.65,24%,97%,79%,74%,Red,[Closed] incomplete work; ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; 
DSFFLOW-80,Closed,Upgrade,Core Network,"EPC, UDM, IMS",176,150,150,06-Feb-25,06-Feb-25,10-Mar-25,06-Jun-25,06-Jun-25,05-Jun-25,120,120,1786.0,1786.0,1758.0,1758.0,2%,100%,99%,98%,Green,[Closed] ahead of schedule; efforts saved; late start; 
DSFFLOW-2813,In Progress,Maiden Installation,Network Management,Resource Orchestration,11,11,1,04-May-25,04-May-25,10-Jul-25,31-Mar-26,31-Mar-26,,331,331,1125.0,1125.0,241.0,1125.0,0%,9%,33%,21%,Green,[In Prog] late start; 
DSFFLOW-1864,In Progress,Upgrade,Network Management,Element Management & Reporting,35,35,35,09-Jun-25,09-Jun-25,18-Jun-25,31-Dec-25,31-Dec-25,,205,205,506.0,506.0,397.0,397.0,22%,100%,35%,78%,Amber,[In Prog] efforts burnt misaligned with work progress; work progress misaligned with time progress; late start; 
DSFFLOW-3730,In Progress,Migration,Core Network,UDM,16,15,0,28-Jul-25,28-Jul-25,12-Aug-25,31-Oct-25,31-Oct-25,,95,95,1283.0,1283.0,241.5,1283.0,0%,0%,24%,19%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-1400,In Progress,Maiden Installation,Core Network,EPC,37,37,5,22-May-23,22-May-23,27-May-25,30-Jul-25,30-Jul-25,,800,800,1432.0,1432.0,376.0,1432.0,0%,15%,102%,26%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; late start; 
DSFFLOW-4396,In Progress,Upgrade,Core Network,MSS,43,43,7,04-Aug-25,04-Aug-25,05-Aug-25,06-Oct-25,06-Oct-25,,63,63,734.0,734.0,229.5,734.0,0%,16%,25%,31%,Green,[In Prog] 
DSFFLOW-1008,In Progress,Upgrade,Network Management,Resource Orchestration,26,25,22,16-Jun-25,03-Jun-25,18-Jun-25,30-Aug-25,30-Aug-25,,75,88,451.0,451.0,370.1,428.0,5%,88%,88%,82%,Green,[In Prog] late start; 
DSFFLOW-4124,In Progress,Maiden Installation,Network Management,Element Management & Reporting,113,113,6,31-Jul-25,31-Jul-25,04-Aug-25,30-Jan-26,30-Jan-26,,183,183,4680.0,4680.0,384.0,4664.0,0%,5%,11%,8%,Green,[In Prog] 
DSFFLOW-2901,In Progress,Maiden Installation,Network Management,Resource Orchestration,34,33,13,01-Jun-25,01-Jun-25,08-Jul-25,30-Aug-25,30-Aug-25,,90,90,777.75,777.75,248.75,742.75,5%,39%,88%,32%,Amber,[In Prog] efforts burnt misaligned with time progress; late start; 
DSFFLOW-1790,In Progress,Upgrade,Core Network,Cloud,85,85,35,02-Jun-25,02-Jun-25,10-Jul-25,31-Mar-26,31-Mar-26,,302,302,726.0,726.0,350.0,728.0,0%,41%,26%,48%,Green,[In Prog] late start; 
DSFFLOW-1614,In Progress,Upgrade,Network Management,Resource Orchestration,54,52,52,28-May-25,28-May-25,04-Jun-25,30-Jan-26,30-Jan-26,,247,247,299.7533333,299.7533333,300.12,300.12,0%,100%,34%,100%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; 
DSFFLOW-2264,In Progress,"Upgrade, Maiden Installation",BOS,Monetization Charging,571,571,3,16-Jun-25,16-Jun-25,16-Jun-25,16-Feb-26,16-Feb-26,,245,245,5197.5,5197.5,341.5,5045.0,3%,1%,26%,8%,Green,[In Prog] 
DSFFLOW-3513,In Progress,Maiden Installation,Network Management,Activation,69,69,0,11-Jul-25,11-Jul-25,24-Jul-25,26-Dec-25,26-Dec-25,,168,168,3075.1,3075.1,255.0,3075.1,0%,0%,24%,8%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-3311,In Progress,Expansion,BOS,Monetization Charging,415,415,50,27-Jul-25,27-Jul-25,22-Jul-25,30-Sep-25,30-Sep-25,,65,65,3078.6,3078.6,323.75,3028.1,2%,12%,36%,11%,Green,[In Prog] 
DSFFLOW-2610,In Progress,Upgrade,Core Network,Signaling,11,11,0,27-Jun-25,27-Jun-25,02-Jul-25,31-Dec-25,31-Dec-25,,187,187,605.0,605.0,320.0,605.0,0%,0%,29%,53%,Red,[In Prog] efforts burning without any work progress; time ticking without any work progress; 
DSFFLOW-662,In Progress,Maiden Installation,Network Management,Resource Orchestration,71,54,6,04-Mar-25,04-Mar-25,05-Jun-25,31-Dec-26,31-Dec-26,,667,667,914.7,515.0666667,312.2166667,847.7833333,-65%,11%,25%,61%,Red,[In Prog] projecting 5%+ EAC effort overrun; efforts burnt outweighing work output; late start; 
DSFFLOW-3562,In Progress,Upgrade,Core Network,Cloud,23,23,2,23-Jul-25,23-Jul-25,23-Jul-25,30-Sep-25,30-Sep-25,,69,69,844.0,844.0,312.0,872.0,-3%,9%,40%,37%,Amber,[In Prog] projecting 1%+ EAC effort overrun ; efforts burnt misaligned with work progress; 
DSFFLOW-1697,In Progress,Upgrade,Core Network,EPC,30,21,20,26-May-25,26-May-25,12-Jun-25,31-Aug-25,31-Aug-25,,97,97,346.0,346.0,310.0,310.0,10%,95%,88%,90%,Green,[In Prog] late start; 
DSFFLOW-3836,In Progress,Upgrade,Network Management,Activation,48,48,18,31-May-25,31-May-25,30-Jul-25,29-Sep-25,29-Sep-25,,121,121,612.0,612.0,274.0,620.0,-1%,38%,66%,45%,Amber,[In Prog] projecting 1%+ EAC effort overrun ; late start; 
DSFFLOW-3342,In Progress,Upgrade,Network Management,"Activation, Resource Orchestration",145,140,15,10-Jul-25,10-Jul-25,10-Jul-25,21-Nov-25,21-Nov-25,,134,134,3933.0,3933.0,279.5,3864.5,2%,11%,30%,8%,Green,[In Prog] 
DSFFLOW-3060,In Progress,Upgrade,Core Network,UDM,71,71,10,25-Jun-25,25-Jun-25,16-Jul-25,28-Nov-25,28-Nov-25,,156,156,967.0,967.0,303.0,921.0,5%,15%,36%,31%,Green,[In Prog] late start; 
DSFFLOW-3498,In Progress,Migration,Core Network,"EPC, Signaling, UDM",77,77,0,18-Jun-25,18-Jun-25,23-Jul-25,31-Dec-25,31-Dec-25,,196,196,1514.6,1514.6,292.5,1457.6,4%,0%,32%,19%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-1151,In Progress,Upgrade,BOS,Monetization Charging,498,498,14,01-Jun-25,01-Jun-25,01-Jun-25,28-Feb-26,28-Feb-26,,272,272,3023.0,3023.0,368.5,2963.0,2%,3%,29%,12%,Green,[In Prog] 
DSFFLOW-3852,In Progress,Migration,Core Network,Cloud,118,118,0,22-Jul-25,22-Jul-25,31-Jul-25,31-Dec-25,31-Dec-25,,162,162,2002.5,2002.5,288.0,2002.5,0%,0%,18%,15%,Green,[In Prog] late start; 
DSFFLOW-245,In Progress,"Upgrade, Maiden Installation",Network Management,Element Management & Reporting,869,573,36,15-May-25,07-Apr-25,,01-Oct-25,01-Oct-25,,139,177,24189.0,17322.0,11151.0,16314.0,6%,6%,76%,64%,Red,[In Prog] efforts burnt outweighing work output; work progress misaligned with time progress; 
DSFFLOW-4564,In Progress,Upgrade,Core Network,Cloud,32,32,0,22-Jul-25,22-Jul-25,08-Aug-25,15-Jan-26,15-Jan-26,,177,177,1211.0,1211.0,208.0,1193.0,1%,0%,16%,17%,Green,[In Prog] late start; 
DSFFLOW-2544,In Progress,Maiden Installation,Core Network,Cloud-3PP/MPBN,10,10,0,19-Apr-25,19-Apr-25,26-Jun-25,31-Oct-25,31-Oct-25,,195,195,1340.0,1340.0,66.0,1274.0,5%,0%,63%,5%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-3327,In Progress,Upgrade,Network Management,Resource Orchestration,26,26,4,15-Jul-25,15-Jul-25,21-Jul-25,31-Oct-25,31-Oct-25,,108,108,334.0,334.0,58.0,334.0,0%,15%,33%,17%,Green,[In Prog] 
DSFFLOW-4794,In Progress,Upgrade,Network Management,Element Management & Reporting,23,18,3,11-Aug-25,11-Aug-25,15-Aug-25,28-Aug-25,29-Aug-25,,17,18,282.0,282.0,52.0,280.0,1%,17%,47%,18%,Green,[In Prog] 
DSFFLOW-4605,In Progress,Upgrade,Core Network,Cloud,127,127,0,24-Jul-25,24-Jul-25,11-Aug-25,31-Dec-26,31-Dec-26,,525,525,2196.0,2196.0,48.0,2196.0,0%,0%,5%,2%,Green,[In Prog] late start; 
DSFFLOW-4028,In Progress,Maiden Installation,Core Network,Cloud,33,33,0,14-Jul-25,14-Jul-25,30-Jul-25,05-Sep-25,05-Sep-25,,53,53,1736.0,1736.0,42.0,1694.0,2%,0%,69%,2%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-4379,In Progress,Upgrade,Network Management,Element Management & Reporting,69,69,3,03-Aug-25,04-Aug-25,04-Aug-25,31-Dec-25,31-Dec-25,,150,149,1002.5,1002.5,41.0,995.5,1%,4%,11%,4%,Green,[In Prog] 
DSFFLOW-1679,In Progress,Maiden Installation,Core Network,Cloud-3PP/MPBN,11,11,0,16-May-25,16-May-25,22-Jul-25,31-Dec-26,31-Dec-26,,594,594,216.0,216.0,35.25,216.0,0%,0%,16%,16%,Green,[In Prog] late start; 
DSFFLOW-2336,In Progress,Upgrade,Core Network,Signaling,26,26,0,02-Jun-25,02-Jun-25,27-Jun-25,04-Jul-25,15-Aug-25,,32,74,364.0,364.0,35.0,359.0,1%,0%,105%,10%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-1994,In Progress,Upgrade,Network Management,Resource Orchestration,39,38,4,22-Jun-25,22-Jun-25,24-Jun-25,10-Jul-25,10-Jul-25,,18,18,313.5,305.5,28.0,289.5,5%,11%,311%,9%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; 
DSFFLOW-4760,In Progress,Upgrade,Network Management,Resource Orchestration,46,46,3,12-Aug-25,12-Aug-25,14-Aug-25,29-Sep-25,29-Sep-25,,48,48,200.08,200.08,17.0,200.08,0%,8%,16%,8%,Green,[In Prog] 
DSFFLOW-4694,In Progress,Upgrade,Core Network,Cloud,48,48,0,13-Jul-25,13-Jul-25,12-Aug-25,30-Dec-25,30-Dec-25,,170,170,2298.0,2298.0,15.0,2283.0,1%,0%,22%,1%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-4498,In Progress,Upgrade,Core Network,"EPC, IMS, MSS, UDM",210,210,0,15-Jul-25,15-Jul-25,08-Aug-25,15-Jan-26,15-Jan-26,,184,184,3907.0,3907.0,8.5,3898.5,0%,0%,19%,0%,Green,[In Prog] late start; 
DSFFLOW-970,In Progress,Upgrade,Core Network,Cloud-3PP/MPBN,16,16,0,08-May-25,08-May-25,07-Aug-25,29-Jul-25,29-Jul-25,,82,82,237.5,237.5,5.0,232.5,2%,0%,125%,2%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-2765,In Progress,Upgrade,Core Network,"EPC, Cloud",49,49,0,11-Nov-24,11-Nov-24,07-Jul-25,20-Dec-24,20-Dec-24,,39,39,1560.0,1560.0,1.0,1560.0,0%,0%,705%,0%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-4483,In Progress,Expansion,Core Network,EPC,12,12,8,18-Aug-25,18-Aug-25,06-Aug-25,12-Sep-25,12-Sep-25,,25,25,161.0,161.0,1.0,161.0,0%,67%,8%,1%,Green,[In Prog] work progress misaligned with time progress; early start; 
DSFFLOW-2674,In Progress,Maiden Installation,Core Network,EPC,41,41,0,01-May-24,01-May-24,10-Jul-25,30-Sep-25,30-Sep-25,,517,517,1454.0,1454.0,,1454.0,0%,0%,92%,0%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-4260,In Progress,Upgrade,Core Network,Cloud,84,84,6,06-Jul-25,06-Jul-25,05-Aug-25,29-Nov-25,29-Nov-25,,146,146,1912.0,1912.0,,1584.0,17%,8%,31%,0%,Green,[In Prog] late start; 
DSFFLOW-2843,In Progress,Migration,BOS,Common Services-Data Migration,10,10,0,16-Jun-25,16-Jun-25,17-Jun-25,31-Dec-26,31-Dec-26,,563,563,1.0,1.0,,1.0,0%,0%,12%,0%,Green,[In Prog] 
DSFFLOW-4361,In Progress,Upgrade,Core Network,"Cloud, EPC",141,141,0,19-Jun-25,19-Jun-25,10-Aug-25,19-Dec-25,19-Dec-25,,183,183,3597.0,3597.0,,3597.0,0%,0%,34%,0%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-3596,In Progress,Upgrade,Core Network,UDM,36,36,2,21-Jul-25,21-Jul-25,24-Jul-25,12-Sep-25,12-Sep-25,,53,53,481.5,481.5,66.0,481.5,0%,6%,57%,15%,Green,[In Prog] work progress misaligned with time progress; 
DSFFLOW-3029,In Progress,Migration,Core Network,IMS,20,20,2,07-May-25,07-May-25,14-Jul-25,31-Dec-25,31-Dec-25,,238,238,902.0,902.0,216.0,902.0,0%,10%,44%,24%,Green,[In Prog] late start; 
DSFFLOW-4055,In Progress,Upgrade,Network Management,Element Management & Reporting,26,19,10,04-Aug-25,04-Aug-25,04-Aug-25,30-Sep-25,30-Sep-25,,57,57,328.0,328.0,86.02,318.02,3%,53%,29%,26%,Amber,[In Prog] efforts burnt misaligned with work progress; 
DSFFLOW-4442,In Progress,Upgrade,Network Management,Element Management & Reporting,25,25,2,27-Jul-25,27-Jul-25,06-Aug-25,18-Sep-25,18-Sep-25,,53,53,418.2,418.2,102.0,418.2,0%,8%,44%,24%,Green,[In Prog] late start; 
DSFFLOW-535,In Progress,Maiden Installation,Core Network,EPC,14,14,13,01-Jan-25,31-Dec-24,01-Jan-25,31-Jul-25,29-May-25,30-Apr-25,211,149,149.0,149.0,206.0,198.0,-33%,93%,81%,138%,Red,[In Prog] effort budget breached; projecting 5%+ EAC effort overrun; efforts burnt misaligned with work progress; efforts burnt misaligned with time progress; 
DSFFLOW-3093,In Progress,Expansion,Core Network,Cloud,89,89,16,04-Jun-25,04-Jun-25,15-Jul-25,31-Mar-26,31-Mar-26,,300,300,2265.5,2265.5,397.0,2223.5,2%,18%,26%,18%,Green,[In Prog] late start; 
DSFFLOW-2962,In Progress,Maiden Installation,Core Network,Cloud,101,101,0,07-Jul-25,07-Jul-25,05-Aug-25,30-Dec-25,30-Dec-25,,176,176,1816.0,1816.0,192.0008333,1816.0,0%,0%,25%,11%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-2435,In Progress,Upgrade,Core Network,EPC,16,16,0,16-Jun-25,16-Jun-25,07-Jul-25,30-Jun-25,30-Jun-25,,14,14,558.0,558.0,192.0,558.0,0%,0%,433%,34%,Amber,[In Prog] time ticking without any work progress; efforts burnt misaligned with work progress; late start; 
DSFFLOW-4299,In Progress,Upgrade,Core Network,"Cloud, EPC, UDM",88,88,0,21-Jul-25,21-Jul-25,06-Aug-25,31-Oct-25,31-Oct-25,,102,102,1686.0,1686.0,182.75,1677.5,1%,0%,29%,11%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-4677,In Progress,Maiden Installation,Core Network,EPC,127,127,0,11-Aug-25,11-Aug-25,11-Aug-25,31-Dec-26,31-Dec-26,,507,507,10485.6,10485.6,178.0,10485.6,0%,0%,2%,2%,Green,[In Prog] 
DSFFLOW-4213,In Progress,Upgrade,Core Network,IMS,80,80,1,25-Jul-25,25-Jul-25,01-Aug-25,31-Oct-25,31-Oct-25,,98,98,1036.0,1036.0,173.45,1032.0,0%,1%,26%,17%,Green,[In Prog] 
DSFFLOW-4343,In Progress,Upgrade,Core Network,"Cloud, EPC",141,141,0,19-Jun-25,19-Jun-25,18-Aug-25,19-Dec-25,19-Dec-25,,183,183,3597.0,3597.0,168.0,3481.0,3%,0%,34%,5%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-591,In Progress,Upgrade,Core Network,Cloud-3PP/MPBN,15,15,1,22-Apr-25,22-Apr-25,05-Jun-25,30-Jun-25,30-Jun-25,,69,69,248.0,248.0,143.0,187.5,24%,8%,171%,58%,Amber,[In Prog] efforts burnt misaligned with work progress; efforts burnt misaligned with time progress; work progress misaligned with time progress; late start; 
DSFFLOW-3685,In Progress,Upgrade,Core Network,MSS,24,24,3,30-Jun-25,27-Jun-25,27-Jun-25,14-Sep-25,14-Sep-25,14-Sep-25,76,79,434.5,434.5,129.0,434.5,0%,13%,100%,30%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; actual End Date exceeds Today; 
